first_layer_size,num_hidden_layers,activation,dropout_rate,optimizer,learning_rate,batch_size,epochs,accuracy,f1,val_loss,epochs_trained
32,1,relu,0.0,adam,0.001,16,50,0.9835555555555555,0.9028871391076115,0.03772677853703499,50
32,1,relu,0.0,adam,0.001,32,50,0.9795555555555555,0.875,0.042413145303726196,50
32,1,relu,0.0,adam,0.01,16,50,0.9795555555555555,0.8722222222222222,0.03301273286342621,17
32,1,relu,0.0,adam,0.01,32,50,0.984,0.9032258064516129,0.02922113612294197,24
32,1,relu,0.2,adam,0.001,16,50,0.9777777777777777,0.8611111111111112,0.049610499292612076,50
32,1,relu,0.2,adam,0.001,32,50,0.9751111111111112,0.8469945355191257,0.06386566907167435,50
32,1,relu,0.2,adam,0.01,16,50,0.9817777777777777,0.8912466843501327,0.03621060773730278,21
32,1,relu,0.2,adam,0.01,32,50,0.9844444444444445,0.9041095890410958,0.034894999116659164,28
32,1,tanh,0.0,adam,0.001,16,50,0.9786666666666667,0.8695652173913043,0.0467783659696579,50
32,1,tanh,0.0,adam,0.001,32,50,0.9697777777777777,0.8045977011494253,0.06694039702415466,50
32,1,tanh,0.0,adam,0.01,16,50,0.9813333333333333,0.8870967741935484,0.03281452879309654,22
32,1,tanh,0.0,adam,0.01,32,50,0.9857777777777778,0.9162303664921466,0.03574462980031967,24
32,1,tanh,0.2,adam,0.001,16,50,0.9595555555555556,0.723404255319149,0.08894310146570206,50
32,1,tanh,0.2,adam,0.001,32,50,0.9502222222222222,0.6339869281045751,0.12848275899887085,44
32,1,tanh,0.2,adam,0.01,16,50,0.9813333333333333,0.8846153846153846,0.042171213775873184,36
32,1,tanh,0.2,adam,0.01,32,50,0.9751111111111112,0.8461538461538461,0.052660759538412094,32
32,2,relu,0.0,adam,0.001,16,50,0.9826666666666667,0.896551724137931,0.032747477293014526,26
32,2,relu,0.0,adam,0.001,32,50,0.9813333333333333,0.8888888888888888,0.034225448966026306,45
32,2,relu,0.0,adam,0.01,16,50,0.9853333333333333,0.9105691056910569,0.02687087096273899,18
32,2,relu,0.0,adam,0.01,32,50,0.984,0.9042553191489362,0.029722318053245544,16
32,2,relu,0.2,adam,0.001,16,50,0.9831111111111112,0.8956043956043956,0.035646021366119385,50
32,2,relu,0.2,adam,0.001,32,50,0.9817777777777777,0.8918205804749341,0.03655371069908142,50
32,2,relu,0.2,adam,0.01,16,50,0.9862222222222222,0.9186351706036745,0.03250439465045929,26
32,2,relu,0.2,adam,0.01,32,50,0.984,0.9067357512953368,0.027341045439243317,27
32,2,tanh,0.0,adam,0.001,16,50,0.9804444444444445,0.8817204301075269,0.03346354886889458,38
32,2,tanh,0.0,adam,0.001,32,50,0.9808888888888889,0.8847184986595175,0.03828175738453865,41
32,2,tanh,0.0,adam,0.01,16,50,0.9848888888888889,0.907103825136612,0.041385307908058167,13
32,2,tanh,0.0,adam,0.01,32,50,0.984,0.9086294416243654,0.03436686471104622,20
32,2,tanh,0.2,adam,0.001,16,50,0.9764444444444444,0.8547945205479452,0.05397966876626015,50
32,2,tanh,0.2,adam,0.001,32,50,0.9675555555555555,0.7739938080495357,0.07863497734069824,50
32,2,tanh,0.2,adam,0.01,16,50,0.9817777777777777,0.8929503916449086,0.042127758264541626,29
32,2,tanh,0.2,adam,0.01,32,50,0.9822222222222222,0.893048128342246,0.034743569791316986,28
32,3,relu,0.0,adam,0.001,16,50,0.9795555555555555,0.8729281767955801,0.03506395220756531,32
32,3,relu,0.0,adam,0.001,32,50,0.9813333333333333,0.8877005347593583,0.03152042254805565,30
32,3,relu,0.0,adam,0.01,16,50,0.9835555555555555,0.9038961038961039,0.03275890648365021,21
32,3,relu,0.0,adam,0.01,32,50,0.9848888888888889,0.9114583333333334,0.028736041858792305,18
32,3,relu,0.2,adam,0.001,16,50,0.9826666666666667,0.8987012987012987,0.03743875399231911,40
32,3,relu,0.2,adam,0.001,32,50,0.9777777777777777,0.8663101604278075,0.046570852398872375,50
32,3,relu,0.2,adam,0.01,16,50,0.9813333333333333,0.8858695652173914,0.03115312196314335,21
32,3,relu,0.2,adam,0.01,32,50,0.9817777777777777,0.8972431077694235,0.03250317648053169,23
32,3,tanh,0.0,adam,0.001,16,50,0.9817777777777777,0.8940568475452196,0.03684210777282715,32
32,3,tanh,0.0,adam,0.001,32,50,0.9822222222222222,0.893048128342246,0.03208956867456436,36
32,3,tanh,0.0,adam,0.01,16,50,0.9826666666666667,0.9002557544757033,0.037613533437252045,18
32,3,tanh,0.0,adam,0.01,32,50,0.9782222222222222,0.8679245283018868,0.041616570204496384,13
32,3,tanh,0.2,adam,0.001,16,50,0.9831111111111112,0.9,0.03816025331616402,49
32,3,tanh,0.2,adam,0.001,32,50,0.98,0.8806366047745358,0.05335100740194321,50
32,3,tanh,0.2,adam,0.01,16,50,0.9822222222222222,0.8936170212765957,0.045728035271167755,18
32,3,tanh,0.2,adam,0.01,32,50,0.9755555555555555,0.8586118251928021,0.04646741971373558,18
64,1,relu,0.0,adam,0.001,16,50,0.9826666666666667,0.8954423592493298,0.03195228427648544,41
64,1,relu,0.0,adam,0.001,32,50,0.9844444444444445,0.9066666666666666,0.034492794424295425,50
64,1,relu,0.0,adam,0.01,16,50,0.984,0.9042553191489362,0.029026011005043983,12
64,1,relu,0.0,adam,0.01,32,50,0.9831111111111112,0.900523560209424,0.0318077951669693,16
64,1,relu,0.2,adam,0.001,16,50,0.9835555555555555,0.9023746701846965,0.03732258826494217,50
64,1,relu,0.2,adam,0.001,32,50,0.9777777777777777,0.8611111111111112,0.050429023802280426,50
64,1,relu,0.2,adam,0.01,16,50,0.9862222222222222,0.9186351706036745,0.03744998946785927,13
64,1,relu,0.2,adam,0.01,32,50,0.9808888888888889,0.8894601542416453,0.030866697430610657,26
64,1,tanh,0.0,adam,0.001,16,50,0.98,0.8773841961852861,0.043694544583559036,47
64,1,tanh,0.0,adam,0.001,32,50,0.9746666666666667,0.841225626740947,0.056650273501873016,50
64,1,tanh,0.0,adam,0.01,16,50,0.9848888888888889,0.907103825136612,0.03144422918558121,31
64,1,tanh,0.0,adam,0.01,32,50,0.9853333333333333,0.912,0.03319695591926575,29
64,1,tanh,0.2,adam,0.001,16,50,0.9688888888888889,0.7865853658536586,0.07060972601175308,50
64,1,tanh,0.2,adam,0.001,32,50,0.9586666666666667,0.7120743034055728,0.09735296666622162,50
64,1,tanh,0.2,adam,0.01,16,50,0.9817777777777777,0.888283378746594,0.04005960002541542,31
64,1,tanh,0.2,adam,0.01,32,50,0.9835555555555555,0.9018567639257294,0.03667282685637474,41
64,2,relu,0.0,adam,0.001,16,50,0.9817777777777777,0.8900804289544236,0.029150277376174927,28
64,2,relu,0.0,adam,0.001,32,50,0.9822222222222222,0.8924731182795699,0.03303821384906769,28
64,2,relu,0.0,adam,0.01,16,50,0.9875555555555555,0.9251336898395722,0.028428971767425537,16
64,2,relu,0.0,adam,0.01,32,50,0.9866666666666667,0.9222797927461139,0.028897134587168694,15
64,2,relu,0.2,adam,0.001,16,50,0.9835555555555555,0.9033942558746736,0.029511073604226112,31
64,2,relu,0.2,adam,0.001,32,50,0.9848888888888889,0.91005291005291,0.03159566596150398,35
64,2,relu,0.2,adam,0.01,16,50,0.9831111111111112,0.9040404040404041,0.030662531033158302,19
64,2,relu,0.2,adam,0.01,32,50,0.9866666666666667,0.9214659685863874,0.030968209728598595,14
64,2,tanh,0.0,adam,0.001,16,50,0.9831111111111112,0.898936170212766,0.03259473294019699,33
64,2,tanh,0.0,adam,0.001,32,50,0.9835555555555555,0.9023746701846965,0.03357541561126709,43
64,2,tanh,0.0,adam,0.01,16,50,0.9822222222222222,0.8876404494382022,0.040540989488363266,11
64,2,tanh,0.0,adam,0.01,32,50,0.9848888888888889,0.907608695652174,0.03398923575878143,12
64,2,tanh,0.2,adam,0.001,16,50,0.9804444444444445,0.8810810810810811,0.03722088411450386,43
64,2,tanh,0.2,adam,0.001,32,50,0.9808888888888889,0.8859416445623343,0.038813766092061996,48
64,2,tanh,0.2,adam,0.01,16,50,0.9822222222222222,0.8947368421052632,0.04133160039782524,15
64,2,tanh,0.2,adam,0.01,32,50,0.9768888888888889,0.8631578947368421,0.044927630573511124,12
64,3,relu,0.0,adam,0.001,16,50,0.9835555555555555,0.9028871391076115,0.036780357360839844,17
64,3,relu,0.0,adam,0.001,32,50,0.9831111111111112,0.8983957219251337,0.03409357741475105,23
64,3,relu,0.0,adam,0.01,16,50,0.9826666666666667,0.896551724137931,0.029473531991243362,12
64,3,relu,0.0,adam,0.01,32,50,0.9835555555555555,0.905852417302799,0.030743390321731567,10
64,3,relu,0.2,adam,0.001,16,50,0.9817777777777777,0.8912466843501327,0.03019237332046032,28
64,3,relu,0.2,adam,0.001,32,50,0.9831111111111112,0.898936170212766,0.031336382031440735,28
64,3,relu,0.2,adam,0.01,16,50,0.9862222222222222,0.9182058047493403,0.03328638896346092,16
64,3,relu,0.2,adam,0.01,32,50,0.9848888888888889,0.9119170984455959,0.03087029978632927,19
64,3,tanh,0.0,adam,0.001,16,50,0.9844444444444445,0.9086161879895561,0.033063340932130814,24
64,3,tanh,0.0,adam,0.001,32,50,0.9844444444444445,0.9046321525885559,0.03199959173798561,29
64,3,tanh,0.0,adam,0.01,16,50,0.9786666666666667,0.8596491228070176,0.0459718182682991,12
64,3,tanh,0.0,adam,0.01,32,50,0.9813333333333333,0.8858695652173914,0.04032900929450989,15
64,3,tanh,0.2,adam,0.001,16,50,0.9831111111111112,0.898936170212766,0.03891201689839363,28
64,3,tanh,0.2,adam,0.001,32,50,0.9782222222222222,0.870026525198939,0.04336335510015488,33
64,3,tanh,0.2,adam,0.01,16,50,0.9826666666666667,0.8981723237597912,0.048875465989112854,15
64,3,tanh,0.2,adam,0.01,32,50,0.9804444444444445,0.8848167539267016,0.04130333662033081,19
128,1,relu,0.0,adam,0.001,16,50,0.984,0.9047619047619048,0.03088284656405449,35
128,1,relu,0.0,adam,0.001,32,50,0.9822222222222222,0.8936170212765957,0.031425852328538895,45
128,1,relu,0.0,adam,0.01,16,50,0.9875555555555555,0.925531914893617,0.02795632742345333,20
128,1,relu,0.0,adam,0.01,32,50,0.9813333333333333,0.8888888888888888,0.02973370999097824,22
128,1,relu,0.2,adam,0.001,16,50,0.9844444444444445,0.9061662198391421,0.032395172864198685,43
128,1,relu,0.2,adam,0.001,32,50,0.9822222222222222,0.893048128342246,0.03636784479022026,50
128,1,relu,0.2,adam,0.01,16,50,0.984,0.9057591623036649,0.03329354152083397,15
128,1,relu,0.2,adam,0.01,32,50,0.9817777777777777,0.8888888888888888,0.03312380239367485,15
128,1,tanh,0.0,adam,0.001,16,50,0.9817777777777777,0.888283378746594,0.03890856355428696,50
128,1,tanh,0.0,adam,0.001,32,50,0.9751111111111112,0.8494623655913979,0.05841302126646042,50
128,1,tanh,0.0,adam,0.01,16,50,0.9857777777777778,0.9144385026737968,0.03426879271864891,21
128,1,tanh,0.0,adam,0.01,32,50,0.9826666666666667,0.8976377952755905,0.03479501232504845,23
128,1,tanh,0.2,adam,0.001,16,50,0.9702222222222222,0.8035190615835777,0.06514055281877518,50
128,1,tanh,0.2,adam,0.001,32,50,0.9591111111111111,0.7195121951219512,0.09252435714006424,50
128,1,tanh,0.2,adam,0.01,16,50,0.9826666666666667,0.8943089430894309,0.035761166363954544,29
128,1,tanh,0.2,adam,0.01,32,50,0.9817777777777777,0.8876712328767123,0.03745371848344803,33
128,2,relu,0.0,adam,0.001,16,50,0.9857777777777778,0.9166666666666666,0.031696490943431854,17
128,2,relu,0.0,adam,0.001,32,50,0.9795555555555555,0.8756756756756757,0.031939685344696045,26
128,2,relu,0.0,adam,0.01,16,50,0.9831111111111112,0.8978494623655914,0.026590464636683464,12
128,2,relu,0.0,adam,0.01,32,50,0.9848888888888889,0.9123711340206185,0.02576175518333912,16
128,2,relu,0.2,adam,0.001,16,50,0.9831111111111112,0.8961748633879781,0.030224772170186043,22
128,2,relu,0.2,adam,0.001,32,50,0.9813333333333333,0.8888888888888888,0.03023398667573929,27
128,2,relu,0.2,adam,0.01,16,50,0.9826666666666667,0.8943089430894309,0.030117293819785118,16
128,2,relu,0.2,adam,0.01,32,50,0.9822222222222222,0.8979591836734694,0.02958105131983757,15
128,2,tanh,0.0,adam,0.001,16,50,0.9844444444444445,0.9076517150395779,0.03342819958925247,27
128,2,tanh,0.0,adam,0.001,32,50,0.9826666666666667,0.894878706199461,0.036742087453603745,33
128,2,tanh,0.0,adam,0.01,16,50,0.9835555555555555,0.9013333333333333,0.04155909642577171,13
128,2,tanh,0.0,adam,0.01,32,50,0.984,0.9052631578947369,0.04573015868663788,10
128,2,tanh,0.2,adam,0.001,16,50,0.9844444444444445,0.9066666666666666,0.035175714641809464,32
128,2,tanh,0.2,adam,0.001,32,50,0.9826666666666667,0.8976377952755905,0.03919188678264618,35
128,2,tanh,0.2,adam,0.01,16,50,0.9768888888888889,0.8624338624338624,0.04775555059313774,11
128,2,tanh,0.2,adam,0.01,32,50,0.9813333333333333,0.8888888888888888,0.037358358502388,17
128,3,relu,0.0,adam,0.001,16,50,0.9782222222222222,0.8650137741046832,0.03370625525712967,12
128,3,relu,0.0,adam,0.001,32,50,0.9831111111111112,0.8983957219251337,0.029631199315190315,24
128,3,relu,0.0,adam,0.01,16,50,0.9844444444444445,0.9081364829396326,0.032707974314689636,12
128,3,relu,0.0,adam,0.01,32,50,0.9853333333333333,0.912,0.03145914897322655,10
128,3,relu,0.2,adam,0.001,16,50,0.9831111111111112,0.900523560209424,0.029307503253221512,20
128,3,relu,0.2,adam,0.001,32,50,0.9817777777777777,0.8951406649616368,0.032750196754932404,19
128,3,relu,0.2,adam,0.01,16,50,0.9813333333333333,0.8934010152284264,0.031421348452568054,14
128,3,relu,0.2,adam,0.01,32,50,0.9826666666666667,0.894878706199461,0.0323454923927784,10
128,3,tanh,0.0,adam,0.001,16,50,0.9831111111111112,0.8972972972972973,0.03266778960824013,21
128,3,tanh,0.0,adam,0.001,32,50,0.9826666666666667,0.896,0.030761413276195526,22
128,3,tanh,0.0,adam,0.01,16,50,0.9724444444444444,0.8368421052631579,0.06011732295155525,10
128,3,tanh,0.0,adam,0.01,32,50,0.9804444444444445,0.8883248730964467,0.039969347417354584,16
128,3,tanh,0.2,adam,0.001,16,50,0.9848888888888889,0.9109947643979057,0.03114389441907406,26
128,3,tanh,0.2,adam,0.001,32,50,0.9831111111111112,0.8972972972972973,0.03776154667139053,26
128,3,tanh,0.2,adam,0.01,16,50,0.9795555555555555,0.875,0.041907090693712234,30
128,3,tanh,0.2,adam,0.01,32,50,0.9822222222222222,0.8901098901098901,0.04863809049129486,14
