first_layer_size,num_hidden_layers,activation,dropout_rate,optimizer,learning_rate,batch_size,epochs,accuracy,f1,val_loss,epochs_trained
32,1,relu,0.0,adam,0.001,16,50,0.9660523763336566,0.8643410852713178,0.08396121859550476,32
32,1,relu,0.0,adam,0.001,32,50,0.9645974781765276,0.8554455445544554,0.08992212265729904,24
32,1,relu,0.0,adam,0.01,16,50,0.9675072744907857,0.8752327746741154,0.08103889971971512,13
32,1,relu,0.0,adam,0.01,32,50,0.9655674102812803,0.8652751423149905,0.07692694664001465,16
32,1,relu,0.2,adam,0.001,16,50,0.966537342386033,0.8628230616302187,0.08480202406644821,41
32,1,relu,0.2,adam,0.001,32,50,0.9612027158098934,0.8455598455598455,0.08449546992778778,34
32,1,relu,0.2,adam,0.01,16,50,0.9645974781765276,0.8635514018691589,0.0792030319571495,16
32,1,relu,0.2,adam,0.01,32,50,0.967992240543162,0.8705882352941177,0.0800541564822197,18
32,1,tanh,0.0,adam,0.001,16,50,0.9660523763336566,0.8588709677419355,0.08139386773109436,47
32,1,tanh,0.0,adam,0.001,32,50,0.9626576139670223,0.8425357873210634,0.09093057364225388,39
32,1,tanh,0.0,adam,0.01,16,50,0.9626576139670223,0.8444444444444444,0.07648522406816483,16
32,1,tanh,0.0,adam,0.01,32,50,0.9641125121241513,0.852589641434263,0.08076037466526031,20
32,1,tanh,0.2,adam,0.001,16,50,0.9597478176527643,0.8323232323232324,0.09499628096818924,45
32,1,tanh,0.2,adam,0.001,32,50,0.9568380213385063,0.8223552894211577,0.09634965658187866,50
32,1,tanh,0.2,adam,0.01,16,50,0.9660523763336566,0.8582995951417004,0.08781185001134872,19
32,1,tanh,0.2,adam,0.01,32,50,0.9636275460717749,0.8560460652591171,0.08632885664701462,28
32,2,relu,0.0,adam,0.001,16,50,0.966537342386033,0.8685714285714285,0.07981257885694504,18
32,2,relu,0.0,adam,0.001,32,50,0.9660523763336566,0.8669201520912547,0.08366378396749496,22
32,2,relu,0.0,adam,0.01,16,50,0.9709020368574199,0.8846153846153846,0.07810229063034058,13
32,2,relu,0.0,adam,0.01,32,50,0.9660523763336566,0.8622047244094488,0.08224412053823471,11
32,2,relu,0.2,adam,0.001,16,50,0.9704170708050437,0.8810916179337231,0.06969936192035675,39
32,2,relu,0.2,adam,0.001,32,50,0.966537342386033,0.8660194174757282,0.07683777809143066,37
