first_layer_size,num_hidden_layers,activation,dropout_rate,optimizer,learning_rate,batch_size,epochs,accuracy,f1,val_loss,epochs_trained
32,1,relu,0.0,adam,0.001,16,50,0.9409817981246553,0.7409200968523002,0.08791656047105789,28
32,1,relu,0.0,adam,0.001,32,50,0.9442912300055157,0.7455919395465995,0.09382899850606918,30
32,1,relu,0.0,adam,0.01,16,50,0.9542195256480971,0.8047058823529412,0.07392402738332748,17
32,1,relu,0.0,adam,0.01,32,50,0.9437396580253723,0.7475247524752475,0.09017683565616608,13
32,1,relu,0.2,adam,0.001,16,50,0.9431880860452289,0.7518072289156627,0.09322043508291245,26
32,1,relu,0.2,adam,0.001,32,50,0.9431880860452289,0.7481662591687042,0.0838160365819931,50
32,1,relu,0.2,adam,0.01,16,50,0.95146166574738,0.7934272300469484,0.07061576843261719,22
32,1,relu,0.2,adam,0.01,32,50,0.9520132377275234,0.7913669064748201,0.07154678553342819,23
32,1,tanh,0.0,adam,0.001,16,50,0.9459459459459459,0.7609756097560976,0.10396772623062134,26
32,1,tanh,0.0,adam,0.001,32,50,0.9459459459459459,0.7609756097560976,0.10236848145723343,36
32,1,tanh,0.0,adam,0.01,16,50,0.9431880860452289,0.7553444180522565,0.09737441688776016,13
32,1,tanh,0.0,adam,0.01,32,50,0.9448428019856592,0.7685185185185185,0.09945500642061234,12
32,1,tanh,0.2,adam,0.001,16,50,0.9437396580253723,0.7397959183673469,0.11079887300729752,29
32,1,tanh,0.2,adam,0.001,32,50,0.9420849420849421,0.731457800511509,0.10967407375574112,39
32,1,tanh,0.2,adam,0.01,16,50,0.9442912300055157,0.7416879795396419,0.10838976502418518,10
32,1,tanh,0.2,adam,0.01,32,50,0.9420849420849421,0.75177304964539,0.10764871537685394,13
32,2,relu,0.0,adam,0.001,16,50,0.9437396580253723,0.7548076923076923,0.08606146275997162,19
32,2,relu,0.0,adam,0.001,32,50,0.9426365140650855,0.7581395348837209,0.09868665039539337,14
32,2,relu,0.0,adam,0.01,16,50,0.9431880860452289,0.7643020594965675,0.0845804214477539,11
32,2,relu,0.0,adam,0.01,32,50,0.9492553778268064,0.7850467289719626,0.08203043788671494,13
32,2,relu,0.2,adam,0.001,16,50,0.9442912300055157,0.7589498806682577,0.08618651330471039,24
32,2,relu,0.2,adam,0.001,32,50,0.9459459459459459,0.7655502392344498,0.08525951206684113,26
32,2,relu,0.2,adam,0.01,16,50,0.9536679536679536,0.8064516129032258,0.07343752682209015,17
32,2,relu,0.2,adam,0.01,32,50,0.95146166574738,0.8018018018018018,0.07531015574932098,18
32,2,tanh,0.0,adam,0.001,16,50,0.9398786541643684,0.7295285359801489,0.0995119959115982,18
32,2,tanh,0.0,adam,0.001,32,50,0.9442912300055157,0.7600950118764845,0.10018332302570343,27
32,2,tanh,0.0,adam,0.01,16,50,0.9387755102040817,0.7218045112781954,0.09395775943994522,11
32,2,tanh,0.0,adam,0.01,32,50,0.9431880860452289,0.745679012345679,0.09159547835588455,12
32,2,tanh,0.2,adam,0.001,16,50,0.9437396580253723,0.7524271844660194,0.10378949344158173,22
32,2,tanh,0.2,adam,0.001,32,50,0.9448428019856592,0.7487437185929648,0.10537354648113251,34
32,2,tanh,0.2,adam,0.01,16,50,0.9409817981246553,0.7573696145124716,0.09386833757162094,13
32,2,tanh,0.2,adam,0.01,32,50,0.9404302261445119,0.7522935779816514,0.10132688283920288,8
32,3,relu,0.0,adam,0.001,16,50,0.9409817981246553,0.7482352941176471,0.08812984824180603,17
32,3,relu,0.0,adam,0.001,32,50,0.9409817981246553,0.7434052757793765,0.09155870974063873,18
32,3,relu,0.0,adam,0.01,16,50,0.9470490899062327,0.7818181818181819,0.08376353234052658,11
32,3,relu,0.0,adam,0.01,32,50,0.9415333701047987,0.7451923076923077,0.08242107927799225,9
32,3,relu,0.2,adam,0.001,16,50,0.9531163816878102,0.8,0.07379468530416489,27
32,3,relu,0.2,adam,0.001,32,50,0.9453943739658025,0.7692307692307693,0.08831331133842468,20
32,3,relu,0.2,adam,0.01,16,50,0.948703805846663,0.7811764705882352,0.07535376399755478,18
32,3,relu,0.2,adam,0.01,32,50,0.9498069498069498,0.7868852459016393,0.07641573995351791,20
32,3,tanh,0.0,adam,0.001,16,50,0.9426365140650855,0.7450980392156863,0.10156558454036713,17
32,3,tanh,0.0,adam,0.001,32,50,0.9470490899062327,0.7669902912621359,0.0969405323266983,24
32,3,tanh,0.0,adam,0.01,16,50,0.9459459459459459,0.7586206896551724,0.0935722216963768,10
32,3,tanh,0.0,adam,0.01,32,50,0.9404302261445119,0.7391304347826086,0.09285179525613785,10
32,3,tanh,0.2,adam,0.001,16,50,0.9327082184225042,0.7038834951456311,0.10833610594272614,15
32,3,tanh,0.2,adam,0.001,32,50,0.9431880860452289,0.7565011820330969,0.09922494739294052,28
32,3,tanh,0.2,adam,0.01,16,50,0.9442912300055157,0.7799564270152506,0.09045321494340897,20
32,3,tanh,0.2,adam,0.01,32,50,0.9470490899062327,0.7692307692307693,0.08820790797472,26
64,1,relu,0.0,adam,0.001,16,50,0.9420849420849421,0.7341772151898734,0.09323076158761978,15
64,1,relu,0.0,adam,0.001,32,50,0.9453943739658025,0.7614457831325301,0.08919330686330795,32
64,1,relu,0.0,adam,0.01,16,50,0.9492553778268064,0.7722772277227723,0.07906648516654968,17
64,1,relu,0.0,adam,0.01,32,50,0.9459459459459459,0.7677725118483413,0.08136143535375595,16
64,1,relu,0.2,adam,0.001,16,50,0.9476006618863761,0.7721822541966427,0.07897435873746872,36
64,1,relu,0.2,adam,0.001,32,50,0.9437396580253723,0.751219512195122,0.09010602533817291,32
64,1,relu,0.2,adam,0.01,16,50,0.95146166574738,0.7972350230414746,0.0760287195444107,15
64,1,relu,0.2,adam,0.01,32,50,0.9459459459459459,0.7666666666666667,0.07798432558774948,15
64,1,tanh,0.0,adam,0.001,16,50,0.9426365140650855,0.7511961722488039,0.10346324741840363,18
64,1,tanh,0.0,adam,0.001,32,50,0.9420849420849421,0.7355163727959698,0.10613840073347092,21
64,1,tanh,0.0,adam,0.01,16,50,0.9442912300055157,0.7566265060240964,0.0959327295422554,14
64,1,tanh,0.0,adam,0.01,32,50,0.9437396580253723,0.7487684729064039,0.09330247342586517,18
64,1,tanh,0.2,adam,0.001,16,50,0.9448428019856592,0.7607655502392344,0.10602983087301254,31
64,1,tanh,0.2,adam,0.001,32,50,0.9426365140650855,0.7305699481865285,0.10919108241796494,27
64,1,tanh,0.2,adam,0.01,16,50,0.9442912300055157,0.7600950118764845,0.09806035459041595,14
64,1,tanh,0.2,adam,0.01,32,50,0.9431880860452289,0.7518072289156627,0.10393881052732468,14
64,2,relu,0.0,adam,0.001,16,50,0.9464975179260894,0.7738927738927739,0.08422134071588516,20
64,2,relu,0.0,adam,0.001,32,50,0.9470490899062327,0.7623762376237624,0.08870816975831985,18
64,2,relu,0.0,adam,0.01,16,50,0.9492553778268064,0.7870370370370371,0.08293909579515457,15
64,2,relu,0.0,adam,0.01,32,50,0.9492553778268064,0.7909090909090909,0.07560136169195175,15
64,2,relu,0.2,adam,0.001,16,50,0.9464975179260894,0.7717647058823529,0.08721116185188293,13
64,2,relu,0.2,adam,0.001,32,50,0.9464975179260894,0.7673860911270983,0.08268904685974121,22
64,2,relu,0.2,adam,0.01,16,50,0.9547710976282405,0.8161434977578476,0.07572603970766068,18
64,2,relu,0.2,adam,0.01,32,50,0.9464975179260894,0.7695961995249406,0.08029992878437042,14
64,2,tanh,0.0,adam,0.001,16,50,0.9442912300055157,0.749379652605459,0.09709807485342026,19
64,2,tanh,0.0,adam,0.001,32,50,0.9404302261445119,0.7440758293838863,0.09505538642406464,18
64,2,tanh,0.0,adam,0.01,16,50,0.9437396580253723,0.7743362831858407,0.08876501768827438,19
64,2,tanh,0.0,adam,0.01,32,50,0.9426365140650855,0.7511961722488039,0.0868724063038826,16
64,2,tanh,0.2,adam,0.001,16,50,0.9442912300055157,0.7430025445292621,0.10210329294204712,15
64,2,tanh,0.2,adam,0.001,32,50,0.9442912300055157,0.749379652605459,0.10144295543432236,18
64,2,tanh,0.2,adam,0.01,16,50,0.9404302261445119,0.7428571428571429,0.10414496809244156,9
64,2,tanh,0.2,adam,0.01,32,50,0.9442912300055157,0.754257907542579,0.084092877805233,21
64,3,relu,0.0,adam,0.001,16,50,0.9442912300055157,0.7623529411764706,0.0861743614077568,16
64,3,relu,0.0,adam,0.001,32,50,0.9464975179260894,0.7695961995249406,0.08915487676858902,16
64,3,relu,0.0,adam,0.01,16,50,0.9498069498069498,0.7858823529411765,0.07857809215784073,11
64,3,relu,0.0,adam,0.01,32,50,0.9448428019856592,0.7663551401869159,0.08462037891149521,8
64,3,relu,0.2,adam,0.001,16,50,0.9481522338665196,0.7772511848341233,0.08027540892362595,20
64,3,relu,0.2,adam,0.001,32,50,0.9448428019856592,0.7685185185185185,0.07969848066568375,21
64,3,relu,0.2,adam,0.01,16,50,0.9520132377275234,0.7990762124711316,0.07347142696380615,15
64,3,relu,0.2,adam,0.01,32,50,0.9509100937672367,0.7963386727688787,0.07453767210245132,17
64,3,tanh,0.0,adam,0.001,16,50,0.948703805846663,0.774818401937046,0.09378450363874435,15
64,3,tanh,0.0,adam,0.001,32,50,0.9448428019856592,0.7596153846153846,0.09531494975090027,15
64,3,tanh,0.0,adam,0.01,16,50,0.9343629343629344,0.7325842696629213,0.09805861860513687,8
64,3,tanh,0.0,adam,0.01,32,50,0.9415333701047987,0.7546296296296297,0.09761563688516617,7
64,3,tanh,0.2,adam,0.001,16,50,0.9404302261445119,0.7378640776699029,0.09933731704950333,15
64,3,tanh,0.2,adam,0.001,32,50,0.9409817981246553,0.7344913151364765,0.09881644695997238,21
64,3,tanh,0.2,adam,0.01,16,50,0.9481522338665196,0.7740384615384616,0.09488780796527863,13
64,3,tanh,0.2,adam,0.01,32,50,0.9464975179260894,0.7759815242494227,0.09145378321409225,12
128,1,relu,0.0,adam,0.001,16,50,0.9420849420849421,0.742014742014742,0.08530519902706146,24
128,1,relu,0.0,adam,0.001,32,50,0.9453943739658025,0.7518796992481203,0.08930142223834991,31
128,1,relu,0.0,adam,0.01,16,50,0.9525648097076669,0.7952380952380952,0.07884806394577026,15
128,1,relu,0.0,adam,0.01,32,50,0.9442912300055157,0.7589498806682577,0.08416667580604553,9
128,1,relu,0.2,adam,0.001,16,50,0.9503585217870932,0.7887323943661971,0.08280032128095627,31
128,1,relu,0.2,adam,0.001,32,50,0.9426365140650855,0.7463414634146341,0.08806879073381424,26
128,1,relu,0.2,adam,0.01,16,50,0.9464975179260894,0.7639902676399026,0.08053793758153915,13
128,1,relu,0.2,adam,0.01,32,50,0.9470490899062327,0.7725118483412322,0.08336862176656723,12
128,1,tanh,0.0,adam,0.001,16,50,0.939327082184225,0.7193877551020408,0.1013529896736145,26
128,1,tanh,0.0,adam,0.001,32,50,0.9431880860452289,0.7493917274939172,0.10179121047258377,32
128,1,tanh,0.0,adam,0.01,16,50,0.939327082184225,0.7222222222222222,0.10313884913921356,15
128,1,tanh,0.0,adam,0.01,32,50,0.9459459459459459,0.755,0.09641166031360626,14
128,1,tanh,0.2,adam,0.001,16,50,0.9387755102040817,0.7189873417721518,0.10693903267383575,24
128,1,tanh,0.2,adam,0.001,32,50,0.9398786541643684,0.706199460916442,0.10898644477128983,27
128,1,tanh,0.2,adam,0.01,16,50,0.9420849420849421,0.7138964577656676,0.1115783154964447,9
128,1,tanh,0.2,adam,0.01,32,50,0.9431880860452289,0.7553444180522565,0.10296235978603363,13
128,2,relu,0.0,adam,0.001,16,50,0.9470490899062327,0.7703349282296651,0.0837705209851265,17
128,2,relu,0.0,adam,0.001,32,50,0.9437396580253723,0.7524271844660194,0.08299659937620163,18
128,2,relu,0.0,adam,0.01,16,50,0.9525648097076669,0.8088888888888889,0.07655490934848785,15
128,2,relu,0.0,adam,0.01,32,50,0.9525648097076669,0.8018433179723502,0.07765375077724457,17
128,2,relu,0.2,adam,0.001,16,50,0.9492553778268064,0.7819905213270142,0.08256860077381134,16
128,2,relu,0.2,adam,0.001,32,50,0.9453943739658025,0.7692307692307693,0.08136511594057083,19
128,2,relu,0.2,adam,0.01,16,50,0.939327082184225,0.7465437788018433,0.08116446435451508,14
128,2,relu,0.2,adam,0.01,32,50,0.9531163816878102,0.8081264108352144,0.08059938997030258,19
128,2,tanh,0.0,adam,0.001,16,50,0.9426365140650855,0.7592592592592593,0.09901831299066544,11
128,2,tanh,0.0,adam,0.001,32,50,0.9409817981246553,0.7470449172576832,0.1046171486377716,12
128,2,tanh,0.0,adam,0.01,16,50,0.9437396580253723,0.7713004484304933,0.0975324735045433,13
128,2,tanh,0.0,adam,0.01,32,50,0.939327082184225,0.7405660377358491,0.10261178761720657,9
128,2,tanh,0.2,adam,0.001,16,50,0.9409817981246553,0.7344913151364765,0.10028553754091263,14
128,2,tanh,0.2,adam,0.001,32,50,0.9409817981246553,0.7421686746987952,0.10678223520517349,12
128,2,tanh,0.2,adam,0.01,16,50,0.9426365140650855,0.755868544600939,0.1077631339430809,9
128,2,tanh,0.2,adam,0.01,32,50,0.9442912300055157,0.7720090293453724,0.09418314695358276,12
128,3,relu,0.0,adam,0.001,16,50,0.9470490899062327,0.7818181818181819,0.08798176050186157,12
128,3,relu,0.0,adam,0.001,32,50,0.9448428019856592,0.7695852534562212,0.08835805952548981,14
128,3,relu,0.0,adam,0.01,16,50,0.9498069498069498,0.7982261640798226,0.088493712246418,10
128,3,relu,0.0,adam,0.01,32,50,0.9503585217870932,0.7916666666666666,0.08177860826253891,16
128,3,relu,0.2,adam,0.001,16,50,0.9459459459459459,0.7792792792792793,0.08348828554153442,14
128,3,relu,0.2,adam,0.001,32,50,0.9503585217870932,0.7857142857142857,0.081000417470932,14
128,3,relu,0.2,adam,0.01,16,50,0.9503585217870932,0.8034934497816594,0.08112429082393646,18
128,3,relu,0.2,adam,0.01,32,50,0.9431880860452289,0.7541766109785203,0.08246298879384995,13
128,3,tanh,0.0,adam,0.001,16,50,0.9481522338665196,0.7661691542288557,0.08870577812194824,16
128,3,tanh,0.0,adam,0.001,32,50,0.9448428019856592,0.7524752475247525,0.09327881038188934,14
128,3,tanh,0.0,adam,0.01,16,50,0.9371207942636514,0.7246376811594203,0.11561086773872375,9
128,3,tanh,0.0,adam,0.01,32,50,0.9409817981246553,0.7358024691358025,0.09881207346916199,10
128,3,tanh,0.2,adam,0.001,16,50,0.9470490899062327,0.7725118483412322,0.08500521630048752,23
128,3,tanh,0.2,adam,0.001,32,50,0.9459459459459459,0.7752293577981652,0.10115353018045425,13
128,3,tanh,0.2,adam,0.01,16,50,0.9387755102040817,0.7482993197278912,0.09452417492866516,26
128,3,tanh,0.2,adam,0.01,32,50,0.9409817981246553,0.7606263982102909,0.10086095333099365,9
